0,1,2,3,4,5
6,OLD,20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,73168580,9290
7,OLD,20190002,롱 샷,85484240,9119
8,OLD,20192222,사일런스,64803390,7165
9,OLD,20185986,진범,56481900,6389
10,OLD,20190273,천로역정: 천국을 찾아서,35778600,4910
1,OLD,20196309,스파이더맨: 파 프롬 홈,4247042120,482038
2,OLD,20183867,알라딘,2253897860,259174
3,OLD,20184047,토이 스토리 4,894096280,105421
4,OLD,20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,352611440,43846
5,OLD,20185353,기방도령,366335210,41680
6,OLD,20185986,진범,246451500,27499
7,OLD,20183782,기생충,179004980,22806
8,OLD,20199951,애나벨 집으로,96116360,11461
9,OLD,20192151,미드소마,88435520,9214
10,OLD,20190273,천로역정: 천국을 찾아서,60609440,7850
1,OLD,20196309,스파이더맨: 파 프롬 홈,8688700110,993772
2,OLD,20183867,알라딘,1988303700,232574
3,OLD,20184047,토이 스토리 4,1173802100,141609
4,OLD,20183782,기생충,268342490,30407
5,OLD,20196655,존 윅 3: 파라벨룸,173779230,19367
6,OLD,20199951,애나벨 집으로,128429800,15872
7,OLD,20190273,천로역정: 천국을 찾아서,62361660,8829
8,OLD,20198453,롱 리브 더 킹: 목포 영웅,39777960,4748
9,OLD,20192689,별의 정원,18774030,2517
10,OLD,20192591,BIFAN2019 판타스틱 단편 걸작선 1,11250000,1875
1,OLD,20183867,알라딘,3156555950,359759
2,OLD,20184047,토이 스토리 4,2457250580,284824
3,OLD,20196655,존 윅 3: 파라벨룸,1239574050,135469
4,OLD,20183782,기생충,763208620,86482
5,OLD,20199951,애나벨 집으로,507048220,55330
6,OLD,20198453,롱 리브 더 킹: 목포 영웅,446092970,50337
7,OLD,20182585,비스트,250440710,27962
8,OLD,20190273,천로역정: 천국을 찾아서,123800300,16771
9,OLD,20192022,마담 싸이코,59678000,6291
10,OLD,20070602,마녀배달부 키키,39253210,4709
1,OLD,20184047,토이 스토리 4,3472606690,396525
2,OLD,20183867,알라딘,3304901600,376622
3,OLD,20198453,롱 리브 더 킹: 목포 영웅,1554075350,172647
4,OLD,20183782,기생충,1193849940,133264
5,OLD,20196655,존 윅 3: 파라벨룸,317893100,33356
6,OLD,20190273,천로역정: 천국을 찾아서,153515200,20084
7,OLD,20196657,맨 인 블랙: 인터내셔널,147236120,16763
8,OLD,20190885,사탄의 인형,89647500,9108
9,OLD,19880001,이웃집 토토로,19519880,2294
10,OLD,20190466,세상을 바꾼 변호인,15314900,1898
